SKU,APORTE,FECHA_INICIO,FECHA_FIN,DEPTO,DPC/WEB,DESCRIPCION,P. TMP,P. AON,%APORTE,DEPARTAMENTO
13431327,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF BOSCH KSU44 INOX 415 LT,2399,2249,0.062526053,LINEA BLANCA
13431944,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF DAEWOO SBS FRS-X23,1778,1628,0.084364454,LINEA BLANCA
13431946,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF DAEWOO SBS FRS-X22,3259,3109,0.046026388,LINEA BLANCA
13438443,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF SBS GE GLM25WGTGS,1999,1849,0.075037519,LINEA BLANCA
13439972,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,COCINA MONACO QUARZO,1999,1849,0.075037519,LINEA BLANCA
13439973,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,COMBO COCINA MONACO QUARZO+CEI-90 CR,2699,2549,0.055576139,LINEA BLANCA
13439974,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,COC MONTECARLO QUARZO+CAM CEI-902CRP INDURAMA,3199,3049,0.046889653,LINEA BLANCA
13439983,8.88,1/1/2021,1/31/2021,D200,20% DESDE PRECIO MASTER EN CP CON TR,SIEGEN SECAD. SG3050 + ONDULADOR SG2100,88.8,79.92,0.1,CUIDADO PERSONAL
13451199,88.8,1/1/2021,1/31/2021,D122,20% DESDE PRECIO MASTER EN PEDS CON TR,IROBOT,888,799.2,0.1,ELECTRODOMESTICOS
13494528,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,S BY S LG 567 LT GC-P207BLQV LED SYL,3999,3849,0.037509377,LINEA BLANCA
13494529,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,S BY S LG 567 LT. GC-L207BLQV LED SYL,3599,3449,0.041678244,LINEA BLANCA
13494530,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,S BY S LG 567 LT. GC-L207BVQV LED BLAN,72745,17958,0.753137673,LINEA BLANCA
13515613,88.8,1/1/2021,1/31/2021,D122,20% DESDE PRECIO MASTER EN PEDS CON TR,BIONAIRE,888,799.2,0.1,ELECTRODOMESTICOS
13524847,6.21333,1/1/2021,1/31/2021,D122,20% DESDE PRECIO MASTER EN PEDS CON TR,IMACO,62.13333333,55.92,0.1,ELECTRODOMESTICOS
13524848,4.43556,1/1/2021,1/31/2021,D122,20% DESDE PRECIO MASTER EN PEDS CON TR,IMACO,44.35555556,39.92,0.1,ELECTRODOMESTICOS
13528718,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF SBS SAMSUNG RS-26TKAPN,6719,6569,0.022324751,LINEA BLANCA
13552111,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,LAVADORA HEBA 11 KG WF8114LPV + SECADORA SDC17809,3790,3640,0.039577836,LINEA BLANCA
13569010,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,CAMPANA DECORATIVA ISLA KLIMATIC CAPRI,3699,3549,0.0405515,LINEA BLANCA
13573764,15.0222,1/1/2021,1/31/2021,D200,20% DESDE PRECIO MASTER EN CP CON TR,ALISADOR GAMA I CP9 DIGITAL ATTIVA,150.2222222,135.2,0.1,CUIDADO PERSONAL
13586681,100,1/2/2021,1/5/2021,D136,S/100 DSCTO EN LINEA BLANCA DESDE 1299 CON TR,REF SBS BOSCH KAN58A40J INOX 541 LT,1350.95,1250.95,0.074021985,LINEA BLANCA
13593474,100,1/2/2021,1/5/2021,D136,S/100 DSCTO EN LINEA BLANCA DESDE 1299 CON TR,TROMM LG 10.5/5 KG WDP1106RD BLANCO,1399,1299,0.071479628,LINEA BLANCA
13593486,100,1/2/2021,1/5/2021,D136,S/100 DSCTO EN LINEA BLANCA DESDE 1299 CON TR,COCINA INDURAMA FLORENCIA QUARZO,1299,1199,0.076982294,LINEA BLANCA
13593487,100,1/2/2021,1/5/2021,D136,S/100 DSCTO EN LINEA BLANCA DESDE 1299 CON TR,CAMPANA INDURAMA DECORATIVA CEI-90CRVC,1399,1299,0.071479628,LINEA BLANCA
13593489,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,COCINA INDURAMA NIZZA,2499,2349,0.06002401,LINEA BLANCA
13593490,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REFRIGERADORA INDURAMA 585 NG,2299,2149,0.065245759,LINEA BLANCA
13597708,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF SAMSUNG RS-26DDAPN +UN22D5003+AME610ST,5767,5617,0.026010057,LINEA BLANCA
13597713,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF RT45WNPP + LED UN19D4003,2360,2210,0.063559322,LINEA BLANCA
13616423,100,1/2/2021,1/5/2021,D136,S/100 DSCTO EN LINEA BLANCA DESDE 1299 CON TR,REFR DAEWOO FR-650NWS,1364.3,1264.3,0.073297662,LINEA BLANCA
13650609,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,SAMSUNG LAVASEC WD0170VDX 17/9KG+ UN22D500,5171,5021,0.029007929,LINEA BLANCA
13670327,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF SAMSUNG RT38YNPP1/XPE,1657,1507,0.090525045,LINEA BLANCA
13682029,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,COMBO COC FLORENCIA QUARZO+CAMP CEI-602CRP INDURAM,1699,1549,0.088287228,LINEA BLANCA
13705459,100,1/2/2021,1/5/2021,D136,S/100 DSCTO EN LINEA BLANCA DESDE 1299 CON TR,REF. LG 490L PANEL EXTERNO GN-M492CLQ,1399.3,1299.3,0.071464304,LINEA BLANCA
13705464,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,STEAM TROMM LG SILVER WDM1306RD 13/8 KG.,3599,3449,0.041678244,LINEA BLANCA
13712564,31.0222,1/1/2021,1/31/2021,D200,20% DESDE PRECIO MASTER EN CP CON TR,AT890/16 SHAVER 3HD FANCY BOX S UNSLD,310.2222222,279.2,0.1,CUIDADO PERSONAL
13716074,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,LAVAVAJILLA BOSCH SMS50E98EU INOX,2499,2349,0.06002401,LINEA BLANCA
13725557,30,1/1/2021,1/15/21,D200,AON,PLANCHA IHT WIDE,229,199,0.131004367,CUIDADO PERSONAL
13728618,5.24444,1/1/2021,1/31/2021,D122,20% DESDE PRECIO MASTER EN PEDS CON TR,PHILIPS,52.44444444,47.2,0.1,ELECTRODOMESTICOS
13731806,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF DAEWOO FRS-X22,2649,2499,0.056625142,LINEA BLANCA
13767907,100,1/2/2021,1/5/2021,D136,S/100 DSCTO EN LINEA BLANCA DESDE 1299 CON TR,REF SS RT32YNPN5/XPE,1362,1262,0.073421439,LINEA BLANCA
13767908,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF SS SBS RS-26DDAPN +RA21PDMU1/XPE,5767,5617,0.026010057,LINEA BLANCA
13767909,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF SS SBS RS-21HKLMR + RA21PDMU1/XPE,6658,6508,0.022529288,LINEA BLANCA
13775649,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,COC IBIZA QUARZO INDURAMA,1599,1449,0.09380863,LINEA BLANCA
13777543,100,1/1/2021,1/10/2021,D386,10% ADICIONAL - WEB,MESA BAR + 2BANCOS CLAU BLANCO,399,299,0.250626566,MUEBLES
13819189,100,1/2/2021,1/5/2021,D136,S/100 DSCTO EN LINEA BLANCA DESDE 1299 CON TR,REF SS RT32YNPN5/XPE,1362,1262,0.073421439,LINEA BLANCA
13819190,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF SS RT50WNPN5/XPE 500L SAMSUNG SILVER,2075,1925,0.072289157,LINEA BLANCA
13819193,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF SS RS-21HKLMR + RA21PDMU1/XPE,6658,6508,0.022529288,LINEA BLANCA
13819195,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF SS RT51KTSL1/XPE,3072,2922,0.048828125,LINEA BLANCA
13826144,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,C.L. GAS MABE MCL6840PSBB1 15 KG,3699,3549,0.0405515,LINEA BLANCA
